Date,Track,Race Number,Horse,Barrier,Jockey,Trainer,SP,Finish Position,Race Distance,Class,Track Condition,Weather,Total Runners
2023-12-24,TAREE,1,MISS ADAMAS,7,MITCH STAPLEFORD,James Dobie,7.5,,1000,MDN,HVY9,SHWRY,11
2023-12-24,TAREE,1,SMOKIN' RUBI,11,RAYMOND SPOKES,Joseph Burges,34.0,,1000,MDN,HVY9,SHWRY,11
2023-12-24,TAREE,1,MY MUM'S TOYBOY,6,KOBY JENNINGS,Brett Dodson,2.5,1.0,1000,MDN,HVY9,SHWRY,11
2023-12-24,TAREE,1,SUPER JAIE,1,JON GRISEDALE,Donna Grisedale,19.0,,1000,MDN,HVY9,SHWRY,11
2023-12-24,TAREE,1,FLOSS'S ONE,3,DARRYL MCLELLAN,Glen Milligan,2.5,2.0,1000,MDN,HVY9,SHWRY,11
2023-12-24,TAREE,1,CELESTIAL KISS,4,ZAC WADICK,Colt Prosser,41.0,,1000,MDN,HVY9,SHWRY,11
2023-12-24,TAREE,1,TAKEN FOR GRANTED,5,NOT NOTIFIED,Tim McIntosh,23.0,,1000,MDN,HVY9,SHWRY,11
2023-12-24,TAREE,1,A NOTION,7,MATTHEW PALMER,Aiden St Vincent,34.0,,1000,MDN,HVY9,SHWRY,11
2023-12-24,TAREE,1,EMPRESS OF MILAN,2,JEFF KEHOE,Tas Morton,151.0,,1000,MDN,HVY9,SHWRY,11
2023-12-24,TAREE,1,GULF OF GUINEA,5,LUKE ROLLS,Ross Stitt,4.6,4.0,1000,MDN,HVY9,SHWRY,11
2023-12-24,TAREE,1,ORSUM,8,BEN LOOKER,Trent Potts,17.0,3.0,1000,MDN,HVY9,SHWRY,11
2023-12-24,TAREE,2,STROBING,2,MOLLIE FITZGERALD,Tony Ball,2.3,2.0,1600,BM74,HVY9,SHWRY,8
2023-12-24,TAREE,2,KING KIKAU,6,JACKSON MURPHY,Wayne Wilkes,14.0,1.0,1600,BM74,HVY9,SHWRY,8
2023-12-24,TAREE,2,REBEL'S EDGE,5,DARRYL MCLELLAN,Cassandra Stummer,3.5,3.0,1600,BM74,HVY9,SHWRY,8
2023-12-24,TAREE,2,TIVA BAY,2,ANDREW GIBBONS,Kris Lees,1.01,,1600,BM74,HVY9,SHWRY,8
2023-12-24,TAREE,2,OH NO BRO,1,MITCH STAPLEFORD,Stephen Jones,7.5,,1600,BM74,HVY9,SHWRY,8
2023-12-24,TAREE,2,OAKFIELD WALLABY,1,LEE MAGORRIAN,Kris Lees,3.2,,1600,BM74,HVY9,SHWRY,8
2023-12-24,TAREE,2,ROSSY'S TYPA GIRL,3,BEN LOOKER,Trent Potts,3.9,4.0,1600,BM74,HVY9,SHWRY,8
2023-12-24,TAREE,2,LAKE MAC LILY,4,PETER GRAHAM,Matthew Robinson,71.0,,1600,BM74,HVY9,SHWRY,8
2023-12-24,TAREE,3,AWESOME TYCOON,9,BEN LOOKER,Jason Deamer,6.0,,1300,MDN SW,HVY9,SHWRY,16
2023-12-24,TAREE,3,CAPITAMY,10,KOBY JENNINGS,Aleacia Bennett,9.0,,1300,MDN SW,HVY9,SHWRY,16
2023-12-24,TAREE,3,MASTER'N'COMMANDER,14,NOT NOTIFIED,Tony Ball,0.0,,1300,MDN SW,HVY9,SHWRY,16
2023-12-24,TAREE,3,BLUE AS,7,ANDREW GIBBONS,Kris Lees,21.0,,1300,MDN SW,HVY9,SHWRY,16
2023-12-24,TAREE,3,VALENTINO PRINCE,14,JEFF KEHOE,Paul Perry,26.0,,1300,MDN SW,HVY9,SHWRY,16
2023-12-24,TAREE,3,CATS QUARTERS,6,PETER GRAHAM,Matthew Robinson,34.0,,1300,MDN SW,HVY9,SHWRY,16
2023-12-24,TAREE,3,CUNNING KITTY,4,KACIE ADAMS,Darren Treacy,51.0,,1300,MDN SW,HVY9,SHWRY,16
2023-12-24,TAREE,3,FRADORO,8,RAYMOND SPOKES,Trent Potts,21.0,,1300,MDN SW,HVY9,SHWRY,16
2023-12-24,TAREE,3,MAYBE SMART,6,MATTHEW PALMER,John Sprague,17.0,3.0,1300,MDN SW,HVY9,SHWRY,16
2023-12-24,TAREE,3,MISS CAPRICORN,13,DARRYL MCLELLAN,Terry Evans,8.5,4.0,1300,MDN SW,HVY9,SHWRY,16
2023-12-24,TAREE,3,TAONGA,3,BENJAMIN OSMOND,Kris Lees,23.0,,1300,MDN SW,HVY9,SHWRY,16
2023-12-24,TAREE,3,THEDAYTHEMUSICDIED,12,MADELINE OWEN,Karen Owen,6.0,,1300,MDN SW,HVY9,SHWRY,16
2023-12-24,TAREE,3,UNCUT GEM,1,ZAC WADICK,Glen Milligan,2.9,2.0,1300,MDN SW,HVY9,SHWRY,16
2023-12-24,TAREE,3,SILVER HALO,5,ROBBIE DOWNEY,Lou Mary,2.9,1.0,1300,MDN SW,HVY9,SHWRY,16
2023-12-24,TAREE,3,EXCLUSIVE BATTLE,2,MOLLIE FITZGERALD,Tony Ball,41.0,,1300,MDN SW,HVY9,SHWRY,16
2023-12-24,TAREE,3,SEE THE DEAN,11,LUKE ROLLS,Ross Stitt,81.0,,1300,MDN SW,HVY9,SHWRY,16
2023-12-24,TAREE,4,VARDON,10,LUKE ROLLS,Andrew MacDonald,0.0,,1600,CL1 SW,HVY9,SHWRY,16
2023-12-24,TAREE,4,YAREAKH,7,JACKSON MURPHY,Wayne Wilkes,3.9,3.0,1600,CL1 SW,HVY9,SHWRY,16
2023-12-24,TAREE,4,CRASH'N'BASH,2,MADELINE OWEN,Karen Owen,13.0,,1600,CL1 SW,HVY9,SHWRY,16
2023-12-24,TAREE,4,MAGIC PHAROAH,1,NOT NOTIFIED,Lou Mary,3.6,,1600,CL1 SW,HVY9,SHWRY,16
2023-12-24,TAREE,4,RENEWED IMPACT,6,ANDREW GIBBONS,Kris Lees,5.5,,1600,CL1 SW,HVY9,SHWRY,16
2023-12-24,TAREE,4,SARASTRINA,14,MOLLIE FITZGERALD,Jason Clisby,16.0,,1600,CL1 SW,HVY9,SHWRY,16
2023-12-24,TAREE,4,BORN CONQUEROR,10,PETER GRAHAM,Peter Graham,7.0,2.0,1600,CL1 SW,HVY9,SHWRY,16
2023-12-24,TAREE,4,NIKODY'S DIEGO,11,JEFF KEHOE,Peter Cheers,23.0,,1600,CL1 SW,HVY9,SHWRY,16
2023-12-24,TAREE,4,SPIRAL ARCHITECT,13,KOBY JENNINGS,Aleacia Bennett,9.5,,1600,CL1 SW,HVY9,SHWRY,16
2023-12-24,TAREE,4,UNCLE SMOKEY,1,MITCH STAPLEFORD,Wayne Wilkes,41.0,4.0,1600,CL1 SW,HVY9,SHWRY,16
2023-12-24,TAREE,4,GRACIOUS GRACIE,3,ZAC WADICK,Tony Ball,26.0,,1600,CL1 SW,HVY9,SHWRY,16
2023-12-24,TAREE,4,OPEN CIRCUIT,5,MATTHEW PALMER,Terry Evans,34.0,,1600,CL1 SW,HVY9,SHWRY,16
2023-12-24,TAREE,4,OPUS,8,LEE MAGORRIAN,Kristen Buchanan,3.8,1.0,1600,CL1 SW,HVY9,SHWRY,16
2023-12-24,TAREE,4,TIME TO TURN,12,DARRYL MCLELLAN,Paul Perry,23.0,,1600,CL1 SW,HVY9,SHWRY,16
2023-12-24,TAREE,4,SISTER PAULA,4,BEN LOOKER,Tony Ball,81.0,,1600,CL1 SW,HVY9,SHWRY,16
2023-12-24,TAREE,4,FOXFORD BABE,9,SERG LISNYY,Kristen Buchanan,23.0,,1600,CL1 SW,HVY9,SHWRY,16
