Date,Track,Race Number,Horse,Barrier,Jockey,Trainer,SP,Finish Position,Race Distance,Class,Track Condition,Weather,Total Runners
2023-10-29,QUEANBEYAN,1,NEVER FAILS,3,BILLY OWEN,Geoffrey Crothers,18.0,4.0,1000,3-4YO BM66,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,1,LETHAL LADY,2,CORIAH KEATINGS,Norm Gardner,6.0,,1000,3-4YO BM66,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,1,CHAMPERS GIRL,1,LOUISE DAY,Bjorn Baker,1.4,3.0,1000,3-4YO BM66,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,1,BATTLE ABBEY,4,ROBYN FREEMAN,Tom Wilson,7.0,1.0,1000,3-4YO BM66,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,1,MISS BELGIUM,5,KAYLA NISBET,Norm Gardner,14.0,2.0,1000,3-4YO BM66,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,1,KISS THE COLOURS,2,JEAN VAN OVERMEIRE,Joe Cleary,7.5,,1000,3-4YO BM66,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,1,SOUL LADY,5,RUBY HAYLOCK,Joe Cleary,0.0,,1000,3-4YO BM66,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,1,THIDA,6,OLIVIA CHAMBERS,Geoffrey Crothers,23.0,,1000,3-4YO BM66,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,2,RUFF,8,LOUISE DAY,Tim Martin,3.4,4.0,1460,MDN,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,2,SATIN DRAGON,11,PIERRE BOUDVILLAIN,Tim Martin,14.0,,1460,MDN,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,2,JAZZ ALL KNIGHT,2,ROBYN FREEMAN,"Barbara Joseph, Paul & Matt Jones",3.0,3.0,1460,MDN,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,2,WANDJINA GAL,4,DAMON BUDLER,Darryl Rolfe,7.5,1.0,1460,MDN,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,2,FLASH PIPER,7,PAUL ZERAFA,John Morrison,81.0,,1460,MDN,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,2,LITTLE COMPLICATED,6,KAYLA NISBET,John Rolfe,23.0,,1460,MDN,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,2,MAGIC DAN,5,MICHAEL HEAGNEY,Michael Sparrow,151.0,,1460,MDN,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,2,OUR RAIDER BOY,1,JAKE BARRETT,Allan McRae,26.0,,1460,MDN,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,2,RED REDEMPTION,10,JACK MARTIN,Aaron Clarke,6.5,,1460,MDN,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,2,THREETHUMBSUP,9,JEAN VAN OVERMEIRE,Joe Cleary,8.5,2.0,1460,MDN,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,2,WANTA SNITZ,3,BEANY PANYA,Anita Walder,101.0,,1460,MDN,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,3,LOUIE'S LEGACY,5,EMMA LY,"Barbara Joseph, Paul & Matt Jones",4.8,2.0,1460,CL3,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,3,SPATS PAV BOWIE,6,LOUISE DAY,Jarrod Austin,2.4,1.0,1460,CL3,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,3,NO QUESTION,6,MICHAEL HEAGNEY,Mick Smith,6.5,,1460,CL3,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,3,LADY TABLOID,1,CORIAH KEATINGS,Nick Olive,4.8,,1460,CL3,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,3,BANDOLERO,2,JULIA PRESITS,Tara & Philippe Vigouroux,5.0,3.0,1460,CL3,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,3,PRIOR THOUGHTS,4,DAMON BUDLER,Darryl Rolfe,41.0,,1460,CL3,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,3,SHE STREAKSAWAY,3,JEAN VAN OVERMEIRE,Joe Cleary,13.0,4.0,1460,CL3,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,3,TILLMAN,7,ROBYN FREEMAN,Greg Stephens,21.0,,1460,CL3,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,4,PAPER DAISY,2,CORIAH KEATINGS,Sarah Murray-Leslie,5.5,,1200,BM58,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,4,SAIKO,3,QUAYDE KROGH,Nick Olive,3.7,,1200,BM58,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,4,MADISON POINT,8,DAMON BUDLER,Rob Potter,18.0,,1200,BM58,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,4,RAIDER EIGHTYEIGHT,6,RUBY HAYLOCK,Joe Cleary,11.0,,1200,BM58,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,4,EL PRADOS,9,EMMA LY,Greg Stephens,34.0,,1200,BM58,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,4,SUNSHINE REGGAE,5,PIERRE BOUDVILLAIN,Tim Martin,9.0,2.0,1200,BM58,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,4,SOUL LADY,8,KAYLA NISBET,Joe Cleary,3.5,1.0,1200,BM58,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,4,DON'T THINKABOUTIT,10,JACK MARTIN,Aaron Clarke,21.0,,1200,BM58,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,4,ULTRAGIRL,7,BRENDAN WARD,Norm Gardner,16.0,3.0,1200,BM58,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,4,BIG STEVE,4,MICHAEL HEAGNEY,Anita Walder,9.0,,1200,BM58,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,4,MY BOY LUBBY,1,ELLEN HENNESSY,Frank Cleary,151.0,4.0,1200,BM58,GOOD3,FINE,11
2023-10-29,QUEANBEYAN,5,AVVERTIMENTO,12,ROBYN FREEMAN,Sarah Murray-Leslie,19.0,,1600,CL1 SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,5,CRAFT,8,BILLY OWEN,Nick Olive,4.8,3.0,1600,CL1 SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,5,FERRARI MAN,9,BRENDAN WARD,Andrew Bourke,5.0,4.0,1600,CL1 SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,5,MY BOY LUBBY,10,MICHAEL HEAGNEY,Frank Cleary,81.0,,1600,CL1 SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,5,OLD NEWMARKET,3,JEAN VAN OVERMEIRE,Joe Cleary,14.0,,1600,CL1 SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,5,PEAK CONTRIBUTER,4,JAKE BARRETT,"Barbara Joseph, Paul & Matt Jones",6.0,,1600,CL1 SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,5,INCANTATA,7,EMMA LY,Guntis Lukss,14.0,,1600,CL1 SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,5,PROMISE THE MOON,11,NOT NOTIFIED,Wayne Austin,5.0,,1600,CL1 SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,5,RED HOT SASS,6,RUBY HAYLOCK,Joe Cleary,26.0,,1600,CL1 SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,5,HARDAZHELL,2,SHAUN GUYMER,Jenny Hoy,4.2,1.0,1600,CL1 SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,5,LEGRIS,5,LOUISE DAY,Tara & Philippe Vigouroux,7.0,,1600,CL1 SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,5,LUNA ANGEL,10,OLIVIA CHAMBERS,Geoffrey Crothers,16.0,2.0,1600,CL1 SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,5,TAN TAT HONOUR,1,DAMON BUDLER,Darryl Rolfe,71.0,,1600,CL1 SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,6,INVINCIBLE DASH,2,QUAYDE KROGH,Nick Olive,3.8,1.0,2000,OPEN,GOOD3,FINE,9
2023-10-29,QUEANBEYAN,6,NIECES AND NEPHEWS,7,JAKE BARRETT,"Barbara Joseph, Paul & Matt Jones",6.0,,2000,OPEN,GOOD3,FINE,9
2023-10-29,QUEANBEYAN,6,UPPER HOUSE,8,MATHEW CAHILL,Norm Gardner,7.0,3.0,2000,OPEN,GOOD3,FINE,9
2023-10-29,QUEANBEYAN,6,DEPARTING BULLET,5,ELLEN HENNESSY,Paul Niceforo,2.7,2.0,2000,OPEN,GOOD3,FINE,9
2023-10-29,QUEANBEYAN,6,TORNAC,3,EMMA LY,Natalie Jarvis,26.0,,2000,OPEN,GOOD3,FINE,9
2023-10-29,QUEANBEYAN,6,CHAOTIC BEAUTY,1,HANNAH WILLIAMS,Danielle Seib,23.0,,2000,OPEN,GOOD3,FINE,9
2023-10-29,QUEANBEYAN,6,ROCKBARTON ROAD,6,JEAN VAN OVERMEIRE,Joe Cleary,9.5,,2000,OPEN,GOOD3,FINE,9
2023-10-29,QUEANBEYAN,6,URJUWAAN,9,KAYLA NISBET,Matthew J Stephens,31.0,,2000,OPEN,GOOD3,FINE,9
2023-10-29,QUEANBEYAN,6,IVIRA,4,MOLLY BOURKE,Rodney Howes,51.0,4.0,2000,OPEN,GOOD3,FINE,9
2023-10-29,QUEANBEYAN,7,LOOK ONLY,7,CORIAH KEATINGS,Fabian Azzopardi,12.0,3.0,1000,OPEN,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,7,SMUGGLER'S BAY,5,JACK MARTIN,John Nisbet,10.0,4.0,1000,OPEN,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,7,MAJOR TIME,6,DAMON BUDLER,Gratz Vella,12.0,1.0,1000,OPEN,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,7,MASTER JOE,2,HANNAH WILLIAMS,Scott Collings,2.8,2.0,1000,OPEN,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,7,ZELAGO,4,QUAYDE KROGH,"Barbara Joseph, Paul & Matt Jones",5.0,,1000,OPEN,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,7,NARITO,5,ROBYN FREEMAN,Tony Sergi,12.0,,1000,OPEN,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,7,ANNUAL,3,JEAN VAN OVERMEIRE,Mike Petrovic,12.0,,1000,OPEN,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,7,BOLD OFFA,1,OLIVIA CHAMBERS,Allan McRae,3.5,,1000,OPEN,GOOD3,FINE,8
2023-10-29,QUEANBEYAN,8,BIG RAY,7,JESSICA DRURY,Tim Martin,8.0,4.0,1000,MDN SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,8,LITVYAK,2,DAMON BUDLER,Darryl Rolfe,26.0,,1000,MDN SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,8,TERREUR MAGIQUE,1,PAUL ZERAFA,John Morrison,151.0,,1000,MDN SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,8,ENERGIZED,6,ELLEN HENNESSY,Richard Litt,8.0,,1000,MDN SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,8,FEEL THE MAGIC,5,SHAUN GUYMER,Stephen O'Halloran,10.0,1.0,1000,MDN SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,8,MAN FROM BRUSSELLS,8,JACK MARTIN,Michael Lynch,10.0,2.0,1000,MDN SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,8,WILD BEAU,9,LOUISE DAY,Bjorn Baker,3.1,,1000,MDN SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,8,FIELD OF MYRTLE,10,NOT NOTIFIED,Bjorn Baker,4.0,,1000,MDN SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,8,ROCKBARTON SHOUT,4,JEAN VAN OVERMEIRE,Joe Cleary,13.0,,1000,MDN SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,8,RUBY SURPRISE,10,MATHEW CAHILL,Graham Brown,14.0,,1000,MDN SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,8,RUSSIAN ZARINA,3,KAYLA NISBET,Claire Lever,6.5,3.0,1000,MDN SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,8,SOHO SUSHI,11,HANNAH WILLIAMS,Pat Murphy,13.0,,1000,MDN SW,GOOD3,FINE,13
2023-10-29,QUEANBEYAN,8,SINGLE BEAT,13,NOT NOTIFIED,Norm Gardner,1.01,,1000,MDN SW,GOOD3,FINE,13
