Date,Track,Race Number,Horse,Barrier,Jockey,Trainer,SP,Finish Position,Race Distance,Class,Track Condition,Weather,Total Runners
2025-10-08,RANDWICK KENSINGTON,1,SUPREME STATEMENT,1,JEAN VAN OVERMEIRE,CHERYL GROUSE,34.0,,1400,3YO+ MDN,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,1,EMBALLEE,6,NASH RAWILLER,CHRIS WALLER,19.0,3.0,1400,3YO+ MDN,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,1,PICTOR,3,JAMES MCDONALD,CHRIS WALLER,3.1,1.0,1400,3YO+ MDN,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,1,PIERRO LAD,4,ZAC LLOYD,CIARON MAHER,4.4,,1400,3YO+ MDN,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,1,AVENUE MONTAIGNE,7,TIM CLARK,GAI WATERHOUSE & ADRIAN BOTT,3.0,4.0,1400,3YO+ MDN,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,1,BELLA WAHINE,7,ZAC LLOYD,CHRIS WALLER,1.01,,1400,3YO+ MDN,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,1,DUNDEEL FLYER,5,KERRIN MCEVOY,PETER SNOWDEN,16.0,,1400,3YO+ MDN,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,1,PANOVA,2,TOMMY BERRY,CHRIS WALLER,5.5,2.0,1400,3YO+ MDN,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,2,JELLICIOUS,1,JAMES MCDONALD,CHRIS WALLER,1.45,,1250,3-4YO BM64,GOOD4,FINE,9
2025-10-08,RANDWICK KENSINGTON,2,ZOUNAKA,4,NOT NOTIFIED,JOHN P THOMPSON,1.01,,1250,3-4YO BM64,GOOD4,FINE,9
2025-10-08,RANDWICK KENSINGTON,2,JOLLY GOOD FELLOW,2,BRAITH NOCK,DEAN MIRFIN,4.6,4.0,1250,3-4YO BM64,GOOD4,FINE,9
2025-10-08,RANDWICK KENSINGTON,2,FLEETING SPIRIT,8,NASH RAWILLER,GERALD RYAN & STERLING ALEXIOU,1.01,,1250,3-4YO BM64,GOOD4,FINE,9
2025-10-08,RANDWICK KENSINGTON,2,MAMUSHKA,7,WILLIAM STANLEY,JOHN O'SHEA & TOM CHARLTON,1.01,,1250,3-4YO BM64,GOOD4,FINE,9
2025-10-08,RANDWICK KENSINGTON,2,SCALABLE,1,CHAD SCHOFIELD,BJORN BAKER,1.01,,1250,3-4YO BM64,GOOD4,FINE,9
2025-10-08,RANDWICK KENSINGTON,2,IN AND OUT,4,TYLER SCHILLER,CHRIS WALLER,4.8,2.0,1250,3-4YO BM64,GOOD4,FINE,9
2025-10-08,RANDWICK KENSINGTON,2,KAKADU SUNSET,3,TIM CLARK,GAI WATERHOUSE & ADRIAN BOTT,2.4,3.0,1250,3-4YO BM64,GOOD4,FINE,9
2025-10-08,RANDWICK KENSINGTON,2,MAYBE MOET,5,TOMMY BERRY,CHRIS WALLER,3.8,1.0,1250,3-4YO BM64,GOOD4,FINE,9
2025-10-08,RANDWICK KENSINGTON,3,KING PEDRO,6,JAMES MCDONALD,JOHN O'SHEA & TOM CHARLTON,3.7,,1800,4YO+ BM72,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,3,MORNING SUN,4,BRAITH NOCK,ANNABEL & ROB ARCHIBALD,1.01,,1800,4YO+ BM72,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,3,CAN'T RECALL ONE,7,MOLLY BOURKE,MATTHEW SMITH,31.0,,1800,4YO+ BM72,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,3,LUSKAIRE,1,TOM SHERRY,ANNABEL & ROB ARCHIBALD,5.0,1.0,1800,4YO+ BM72,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,3,MR FABULOUS,2,JESS TAYLOR,THERESA BATEUP,151.0,4.0,1800,4YO+ BM72,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,3,EXCLUSIVE ARTIST,4,ZAC LLOYD,ANNABEL & ROB ARCHIBALD,2.3,2.0,1800,4YO+ BM72,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,3,WOUNDER,3,KERRIN MCEVOY,CHRIS WALLER,6.0,3.0,1800,4YO+ BM72,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,3,STING IN THE TAIL,5,TYLER SCHILLER,CHRIS WALLER,10.0,,1800,4YO+ BM72,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,4,KIND WORDS,3,KERRIN MCEVOY,KRIS LEES,16.0,3.0,1400,3YO+ BM78 FM,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,4,AFRICAN DAISY,1,BRAITH NOCK,JASON DEAMER,1.01,,1400,3YO+ BM78 FM,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,4,DANCE TO THE BOOM,1,JAMES MCDONALD,BJORN BAKER,1.6,1.0,1400,3YO+ BM78 FM,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,4,LA ROJA,6,DYLAN GIBBONS,PETER SNOWDEN,4.8,2.0,1400,3YO+ BM78 FM,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,4,SWELTERING,2,NASH RAWILLER,CHRIS WALLER,9.0,4.0,1400,3YO+ BM78 FM,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,4,SOCRAZYINLOVE,4,ALYSHA COLLETT,ANNABEL & ROB ARCHIBALD,14.0,,1400,3YO+ BM78 FM,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,4,IT'S A WONDER,5,TYLER SCHILLER,GERALD RYAN & STERLING ALEXIOU,12.0,,1400,3YO+ BM78 FM,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,4,KAKADU SUNSET,5,TIM CLARK,GAI WATERHOUSE & ADRIAN BOTT,1.01,,1400,3YO+ BM78 FM,GOOD4,FINE,8
2025-10-08,RANDWICK KENSINGTON,5,ALTHOFF,8,SIENA GRIMA,CHRIS WALLER,7.0,,1300,3YO+ BM72,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,5,VERBIL,3,JAMES MCDONALD,ANNABEL & ROB ARCHIBALD,2.9,2.0,1300,3YO+ BM72,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,5,THE REPLICANT,1,NASH RAWILLER,JOSEPH PRIDE,5.0,,1300,3YO+ BM72,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,5,SHOW COUNTY,7,LOUIS BEUZELIN,ALEXANDRE LEMARIE,41.0,,1300,3YO+ BM72,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,5,STAGNUM,8,TYLER SCHILLER,"M, W & J HAWKES",3.8,1.0,1300,3YO+ BM72,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,5,RINGAROSA,6,ASHLEY MORGAN,MATTHEW DALE,14.0,4.0,1300,3YO+ BM72,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,5,BELIEVE IN ANGELS,5,TIM CLARK,JOSEPH PRIDE,6.0,3.0,1300,3YO+ BM72,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,5,MASTER OF DISGUISE,5,KERRIN MCEVOY,DANIELLE SEIB,12.0,,1300,3YO+ BM72,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,5,MONTE MAXIMUS,11,JAY FORD,NOEL MAYFIELD-SMITH,34.0,,1300,3YO+ BM72,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,5,PLACID PEARL,2,ZAC LLOYD,MATTHEW SMITH,8.5,,1300,3YO+ BM72,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,5,ZOE,4,CHAD LEVER,CRAIG CARMODY,34.0,,1300,3YO+ BM72,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,6,JELLICIOUS,1,JAMES MCDONALD,CHRIS WALLER,2.6,,1250,3YO+ BM72 FM,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,6,RINGAROSA,7,NOT NOTIFIED,MATTHEW DALE,11.0,,1250,3YO+ BM72 FM,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,6,RUBI'S SERVE,2,LEE MAGORRIAN,MARK MINERVINI,26.0,1.0,1250,3YO+ BM72 FM,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,6,ZOUNAKA,7,JAMES MCDONALD,JOHN P THOMPSON,8.0,,1250,3YO+ BM72 FM,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,6,MASTER OF DISGUISE,3,KERRIN MCEVOY,DANIELLE SEIB,9.0,,1250,3YO+ BM72 FM,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,6,ALABAMA FOX,5,BRAITH NOCK,ANNABEL & ROB ARCHIBALD,3.8,4.0,1250,3YO+ BM72 FM,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,6,FLEETING SPIRIT,4,NASH RAWILLER,GERALD RYAN & STERLING ALEXIOU,3.6,3.0,1250,3YO+ BM72 FM,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,6,JAMAIS,1,CHAD LEVER,CRAIG CARMODY,61.0,,1250,3YO+ BM72 FM,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,6,MAMUSHKA,6,ZAC LLOYD,JOHN O'SHEA & TOM CHARLTON,5.5,2.0,1250,3YO+ BM72 FM,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,6,DEAR JEWEL,9,ANDREW ADKINS,JOSEPH PRIDE,26.0,,1250,3YO+ BM72 FM,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,6,SCALABLE,8,CHAD SCHOFIELD,BJORN BAKER,7.0,,1250,3YO+ BM72 FM,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,7,WELL TIMED,10,NASH RAWILLER,KERRY PARKER,6.5,2.0,1400,3YO+ BM78 CG,GOOD4,FINE,10
2025-10-08,RANDWICK KENSINGTON,7,ROCK EMPIRE,9,ADAM HYERONIMUS,GAI WATERHOUSE & ADRIAN BOTT,3.8,1.0,1400,3YO+ BM78 CG,GOOD4,FINE,10
2025-10-08,RANDWICK KENSINGTON,7,HIGH BLUE SEA,3,TIM CLARK,GERALD RYAN & STERLING ALEXIOU,15.0,4.0,1400,3YO+ BM78 CG,GOOD4,FINE,10
2025-10-08,RANDWICK KENSINGTON,7,SOSINO,5,BRAITH NOCK,ANNABEL & ROB ARCHIBALD,26.0,,1400,3YO+ BM78 CG,GOOD4,FINE,10
2025-10-08,RANDWICK KENSINGTON,7,BOJANGLES,6,JAY FORD,KIM WAUGH,5.0,,1400,3YO+ BM78 CG,GOOD4,FINE,10
2025-10-08,RANDWICK KENSINGTON,7,PEACE OFFICER,7,JAMES MCDONALD,CLARRY CONNERS,4.6,,1400,3YO+ BM78 CG,GOOD4,FINE,10
2025-10-08,RANDWICK KENSINGTON,7,NAILS MURPHY,1,ASHLEY MORGAN,CIARON MAHER,21.0,,1400,3YO+ BM78 CG,GOOD4,FINE,10
2025-10-08,RANDWICK KENSINGTON,7,JACK DUGGAN,2,DYLAN GIBBONS,JASON DEAMER,201.0,,1400,3YO+ BM78 CG,GOOD4,FINE,10
2025-10-08,RANDWICK KENSINGTON,7,SILVANITO,8,JOSHUA PARR,NATHAN DOYLE,4.8,3.0,1400,3YO+ BM78 CG,GOOD4,FINE,10
2025-10-08,RANDWICK KENSINGTON,7,SIZZLER,4,CHAD LEVER,CRAIG CARMODY,101.0,,1400,3YO+ BM78 CG,GOOD4,FINE,10
2025-10-08,RANDWICK KENSINGTON,8,BIANCO VILANO,7,BENJAMIN OSMOND,RON STUBBS,17.0,,1250,5YO+ BM78,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,8,MOGO MAGIC,3,WILLIAM STANLEY,SCOTT COLLINGS,4.2,1.0,1250,5YO+ BM78,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,8,HUON,2,TOM SHERRY,RICHARD LITT,8.5,2.0,1250,5YO+ BM78,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,8,BROADWAY BOUNCER,8,ANNA ROPER,KRISTEN BUCHANAN,51.0,,1250,5YO+ BM78,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,8,AFRICAN DAISY,6,BRAITH NOCK,JASON DEAMER,11.0,,1250,5YO+ BM78,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,8,SYDNEY BOWLER,8,DYLAN GIBBONS,JOHN O'SHEA & TOM CHARLTON,6.5,3.0,1250,5YO+ BM78,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,8,SO GOOD SO COOL,1,TIM CLARK,NACIM DILMI,9.5,,1250,5YO+ BM78,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,8,ZOURIPPER,4,CHAD SCHOFIELD,JOHN P THOMPSON,4.8,4.0,1250,5YO+ BM78,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,8,CROP DUSTER,7,SIENA GRIMA,JEREMY GASK,11.0,,1250,5YO+ BM78,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,8,BIG OPINION,5,ASHLEY MORGAN,MATTHEW DALE,4.4,,1250,5YO+ BM78,GOOD4,FINE,11
2025-10-08,RANDWICK KENSINGTON,8,VERBIL,9,JAMES MCDONALD,ANNABEL & ROB ARCHIBALD,1.01,,1250,5YO+ BM78,GOOD4,FINE,11
2025-10-08,SALE,1,FASTOBULLET,2,ETHAN BROWN,GREG EURELL,2.8,,1427,3YO MDN,GOOD3,FINE,14
2025-10-08,SALE,1,INQUISITOR,12,JYE MCNEIL,CHRIS WALLER,10.0,,1427,3YO MDN,GOOD3,FINE,14
2025-10-08,SALE,1,PRONOUNCED,2,THOMAS STOCKDALE,MICK PRICE & MICHAEL KENT JNR,8.5,,1427,3YO MDN,GOOD3,FINE,14
2025-10-08,SALE,1,ROULETTE KING,3,JAMIE MOTT,TREVOR ROGERS,3.1,1.0,1427,3YO MDN,GOOD3,FINE,14
2025-10-08,SALE,1,SKY DEEL,4,DANIEL STACKHOUSE,GAVIN BEDGGOOD,12.0,,1427,3YO MDN,GOOD3,FINE,14
2025-10-08,SALE,1,SOROUSH,5,BILLY EGAN,GLEN THOMPSON,15.0,3.0,1427,3YO MDN,GOOD3,FINE,14
2025-10-08,SALE,1,BONUS SEASON,7,JORDAN CHILDS,GRAHAME BEGG,9.0,2.0,1427,3YO MDN,GOOD3,FINE,14
2025-10-08,SALE,1,MELEYS,10,LUKE CURRIE,"BEN, WILL & JD HAYES",3.4,,1427,3YO MDN,GOOD3,FINE,14
2025-10-08,SALE,1,SORCERER LASS,6,CRAIG NEWITT,PETER GELAGOTIS,71.0,,1427,3YO MDN,GOOD3,FINE,14
2025-10-08,SALE,1,TISSEYRE,1,BEAU MERTENS,KEN & KASEY KEYS,6.5,,1427,3YO MDN,GOOD3,FINE,14
2025-10-08,SALE,1,VIENNA PRIDE,9,PATRICK MOLONEY,PAT CAREY & HARRIS WALKER,51.0,,1427,3YO MDN,GOOD3,FINE,14
2025-10-08,SALE,1,AUBAINE,11,LOGAN BATES,MICK PRICE & MICHAEL KENT JNR,81.0,4.0,1427,3YO MDN,GOOD3,FINE,14
2025-10-08,SALE,1,VEOMAS,9,DANIEL STACKHOUSE,MARK WALKER,1.01,,1427,3YO MDN,GOOD3,FINE,14
2025-10-08,SALE,1,TARGET SET,8,LIAM RIORDAN,TRENT BUSUTTIN & NATALIE YOUNG,151.0,,1427,3YO MDN,GOOD3,FINE,14
2025-10-08,SALE,2,ROSA AOTEAROA,6,DANIEL STACKHOUSE,REECE GOODWIN,14.0,2.0,1112,3YO+ MDN,GOOD3,FINE,11
2025-10-08,SALE,2,ALODIE,9,SHERIDAN CLARKE,CHRIS DIPLOCK,151.0,,1112,3YO+ MDN,GOOD3,FINE,11
2025-10-08,SALE,2,ASSERTIVE SWAY,6,LUKE CARTWRIGHT,REBECCA KELLY,151.0,,1112,3YO+ MDN,GOOD3,FINE,11
2025-10-08,SALE,2,CELTICS,7,ETHAN BROWN,MICK PRICE & MICHAEL KENT JNR,2.5,,1112,3YO+ MDN,GOOD3,FINE,11
2025-10-08,SALE,2,FIERCE FIASCO,5,LIAM RIORDAN,ANDREW FORSMAN,61.0,,1112,3YO+ MDN,GOOD3,FINE,11
2025-10-08,SALE,2,I'MATEEZ,8,THOMAS STOCKDALE,ALEXANDER RAE,3.6,3.0,1112,3YO+ MDN,GOOD3,FINE,11
2025-10-08,SALE,2,JOHNNY ME BOY,3,TEO NUGENT,DEAN BINAISSE,26.0,,1112,3YO+ MDN,GOOD3,FINE,11
2025-10-08,SALE,2,ALGADON STORM,2,LUKE CURRIE,MATT LAURIE,14.0,,1112,3YO+ MDN,GOOD3,FINE,11
2025-10-08,SALE,2,BAJARIA,1,JYE MCNEIL,PETER GELAGOTIS,3.9,1.0,1112,3YO+ MDN,GOOD3,FINE,11
2025-10-08,SALE,2,FAR MORE RADIANT,1,LOGAN BATES,GAVIN BEDGGOOD,81.0,,1112,3YO+ MDN,GOOD3,FINE,11
2025-10-08,SALE,2,HI VAL,4,BEAU MERTENS,CIARON MAHER,16.0,4.0,1112,3YO+ MDN,GOOD3,FINE,11
2025-10-08,SALE,3,BLUE COWBOY,6,LUKE CURRIE,MICHAEL KENT,3.1,1.0,1427,4YO+ MDN,GOOD3,FINE,12
2025-10-08,SALE,3,KENNERITE,1,SHERIDAN CLARKE,MICHAEL TEMPLETON,126.0,,1427,4YO+ MDN,GOOD3,FINE,12
2025-10-08,SALE,3,LUCKY DIAMOND,4,LUKE CARTWRIGHT,JOHN SADLER,16.0,3.0,1427,4YO+ MDN,GOOD3,FINE,12
2025-10-08,SALE,3,MANIFEST THE MILLI,10,BILLY EGAN,DANNY O'BRIEN,3.8,,1427,4YO+ MDN,GOOD3,FINE,12
2025-10-08,SALE,3,NEWCOMBE,11,KOBY JENNINGS,PAUL & TRACEY TEMPLETON,12.0,4.0,1427,4YO+ MDN,GOOD3,FINE,12
2025-10-08,SALE,3,PRINCE OF FLORENCE,9,CARLEEN HEFEL,DIANNE CLOVER,151.0,,1427,4YO+ MDN,GOOD3,FINE,12
2025-10-08,SALE,3,SQUARE DEAL,2,JAKE NOONAN,KELVIN SOUTHEY,15.0,,1427,4YO+ MDN,GOOD3,FINE,12
2025-10-08,SALE,3,FORTYSECONDSTREET,7,ETHAN BROWN,TRENT BUSUTTIN & NATALIE YOUNG,6.0,,1427,4YO+ MDN,GOOD3,FINE,12
2025-10-08,SALE,3,ONE WAY RIDE,3,THOMAS STOCKDALE,RACHAEL CUNNINGHAM,26.0,,1427,4YO+ MDN,GOOD3,FINE,12
2025-10-08,SALE,3,RACEY CASEY,8,DYLAN DUNN,JAMIE EDWARDS,21.0,2.0,1427,4YO+ MDN,GOOD3,FINE,12
2025-10-08,SALE,3,TARCOOLA BELLE,5,TEO NUGENT,DAVID NOONAN,7.5,,1427,4YO+ MDN,GOOD3,FINE,12
2025-10-08,SALE,3,MODS,10,KRISTO SARDELIC,ANDREW PERDON,1.01,,1427,4YO+ MDN,GOOD3,FINE,12
2025-10-08,SALE,4,CHRONIC,11,TEO NUGENT,MICHAEL TEMPLETON,11.0,,1744,3YO+ MDN,GOOD3,FINE,13
