Date,Track,Race Number,Horse,Barrier,Jockey,Trainer,SP,Finish Position,Race Distance,Class,Track Condition,Weather,Total Runners,Place,Win,SP_missing,JockeyWinRate,TrainerWinRate,HorseWinRate,Jockey_ID,Trainer_ID,Horse_ID,Jockey_Enc,Trainer_Enc,Horse_Enc
2025-10-25,MOONEE VALLEY,1,CANNONBALL,8,ANTHONY ALLEN,PATRICK KEARNEY,34.0,0,1000,,GOOD4,OCAST,10,0,0,0,0.1527178602243313,0.1393034825870646,0.1111111111111111,1036,4012,6125,0.1527178602243313,0.1393034825870646,0.1111111111111111
2025-10-25,MOONEE VALLEY,1,COLEMAN,4,BEN MELHAM,CLINTON MCDONALD,8.5,0,1000,,GOOD4,OCAST,10,0,0,0,0.0878754171301446,0.0862320958783981,0.0909090909090909,678,628,7829,0.0878754171301446,0.0862320958783981,0.0909090909090909
2025-10-25,MOONEE VALLEY,1,RED HOT NICC,2,THOMAS STOCKDALE,PHILLIP STOKES,11.0,0,1000,,GOOD4,OCAST,10,0,0,0,0.0924657534246575,0.1335443037974683,0.375,1218,3195,32871,0.0924657534246575,0.1335443037974683,0.375
2025-10-25,MOONEE VALLEY,1,EXTREMELY LUCKY,7,LACHLAN NEINDORF,ANDREW CLARKEN,26.0,0,1000,,GOOD4,OCAST,10,0,0,0,0.1114035087719298,0.0887265135699373,0.0,1228,1237,12494,0.1114035087719298,0.0887265135699373,0.0
2025-10-25,MOONEE VALLEY,1,MAJOR SHARE,9,TOM MADDEN,TASHA CHAMBERS,8.5,0,1000,,GOOD4,OCAST,10,0,0,0,0.0694333599361532,0.1557377049180328,0.6,1232,43,24144,0.0694333599361532,0.1557377049180328,0.6
2025-10-25,MOONEE VALLEY,1,PHILOSOPHER,1,ZAC SPAIN,ENVER JUSUFOVIC,19.0,0,1000,,GOOD4,OCAST,10,0,0,0,0.1046875,0.1210045662100456,0.2941176470588235,205,1092,30549,0.1046875,0.1210045662100456,0.2941176470588235
2025-10-25,MOONEE VALLEY,1,BEAST MODE,5,CRAIG WILLIAMS,"M, W & J HAWKES",4.6,0,1000,,GOOD4,OCAST,10,0,0,0,0.1548463356973995,0.1107918263090676,0.1818181818181818,808,329,3236,0.1548463356973995,0.1107918263090676,0.1818181818181818
2025-10-25,MOONEE VALLEY,1,DON'T HOPE DO,3,HARRY COFFEY,SIMON ZAHRA,5.5,0,1000,,GOOD4,OCAST,10,0,0,0,0.1135101789019124,0.0587695133149678,0.2142857142857142,600,3707,10503,0.1135101789019124,0.0587695133149678,0.2142857142857142
2025-10-25,MOONEE VALLEY,1,TONKIN,4,ZOE LLOYD,A & S FREEDMAN,2.4,0,1000,,GOOD4,OCAST,10,0,0,0,0.1538461538461538,0.1489111241907004,0.375,290,207,42504,0.1538461538461538,0.1489111241907004,0.375
2025-10-25,MOONEE VALLEY,1,TREMBLES,6,M DEE,A & S FREEDMAN,11.0,0,1000,,GOOD4,OCAST,10,0,0,0,0.0979538528515455,0.1489111241907004,0.4285714285714285,304,207,42930,0.0979538528515455,0.1489111241907004,0.4285714285714285
2025-10-25,MOONEE VALLEY,10,LIGHT INFANTRY MAN,8,ETHAN BROWN,C MAHER & D EUSTACE,41.0,0,2040,,GOOD4,OCAST,9,0,0,0,0.1447602131438721,0.0960688532216794,0.1428571428571428,380,640,22483,0.1447602131438721,0.0960688532216794,0.1428571428571428
2025-10-25,MOONEE VALLEY,10,ANTINO,6,BLAKE SHINN,TONY GOLLAN,3.8,0,2040,,GOOD4,OCAST,9,0,0,0,0.1798780487804878,0.0754025301897642,0.2352941176470588,131,4087,1687,0.1798780487804878,0.0754025301897642,0.2352941176470588
2025-10-25,MOONEE VALLEY,10,ATTRITION,2,CRAIG WILLIAMS,ANTHONY & SAM FREEDMAN,31.0,0,2040,,GOOD4,OCAST,9,0,0,0,0.0878754171301446,0.1034912718204488,0.05,678,2719,2378,0.0878754171301446,0.1034912718204488,0.05
2025-10-25,MOONEE VALLEY,10,BUCKAROO,4,MARK ZAHRA,CHRIS WALLER,14.0,0,2040,,GOOD4,OCAST,9,0,0,0,0.2002772002772002,0.0862320958783981,0.1333333333333333,518,628,5487,0.2002772002772002,0.0862320958783981,0.1333333333333333
2025-10-25,MOONEE VALLEY,10,GLOBE,7,BEN MELHAM,M PRICE & M KENT JNR,17.0,0,2040,,GOOD4,OCAST,9,0,0,0,0.1798780487804878,0.0952380952380952,0.4166666666666667,131,2696,15171,0.1798780487804878,0.0952380952380952,0.4166666666666667
2025-10-25,MOONEE VALLEY,10,VIA SISTINA,5,J MCDONALD,CHRIS WALLER,2.2,0,2040,,GOOD4,OCAST,9,0,0,0,0.2002772002772002,0.0754025301897642,0.6153846153846154,518,4087,44220,0.2002772002772002,0.0754025301897642,0.6153846153846154
2025-10-25,MOONEE VALLEY,10,TREASURETHE MOMENT,1,DAMIAN LANE,M M LAURIE,6.0,0,2040,,GOOD4,OCAST,9,0,0,0,0.1538461538461538,0.1161616161616161,0.5714285714285714,290,2538,42915,0.1538461538461538,0.1161616161616161,0.5714285714285714
2025-10-25,MOONEE VALLEY,10,AELIANA,7,H BOWMAN,CHRIS WALLER,7.5,0,2040,,GOOD4,OCAST,9,0,0,0,0.1538461538461538,0.0754025301897642,0.3333333333333333,290,4087,390,0.1538461538461538,0.0754025301897642,0.3333333333333333
2025-10-25,MOONEE VALLEY,10,NEPOTISM,3,ZOE LLOYD,"M, W & J HAWKES",18.0,0,2040,,GOOD4,OCAST,9,0,0,0,0.1798780487804878,0.1063829787234042,0.25,131,2407,27768,0.1798780487804878,0.1063829787234042,0.25
2025-10-25,MOONEE VALLEY,2,PRINCE TYCOON,6,DAMIAN LANE,T & N BUSUTTIN & YOUNG,3.6,0,1200,,GOOD4,OCAST,9,0,0,0,0.1421889616463985,0.0888369374634716,0.5,887,4045,31612,0.1421889616463985,0.0888369374634716,0.5
2025-10-25,MOONEE VALLEY,2,NAPOLEONIC,9,J MCDONALD,JOHN O'SHEA & TOM CHARLTON,3.2,0,1200,,GOOD4,OCAST,9,0,0,0,0.129619415333701,0.1101485148514851,0.3333333333333333,1305,1831,27559,0.129619415333701,0.1101485148514851,0.3333333333333333
2025-10-25,MOONEE VALLEY,2,VIRTUAL ILLUSION,2,MARK ZAHRA,J RICHARDS,12.0,0,1200,,GOOD4,OCAST,9,0,0,0,0.0544412607449856,0.1156756756756756,1.0,187,3324,44423,0.0544412607449856,0.1156756756756756,1.0
2025-10-25,MOONEE VALLEY,2,ST EDWARD,5,BLAKE SHINN,M PRICE & M KENT JNR,6.5,0,1200,,GOOD4,OCAST,9,0,0,0,0.1019141231246766,0.0952380952380952,0.5,107,2696,38743,0.1019141231246766,0.0952380952380952,0.5
2025-10-25,MOONEE VALLEY,2,ORNITHOLOGY,7,H BOWMAN,CHRIS WALLER,34.0,0,1200,,GOOD4,OCAST,9,0,0,0,0.1538461538461538,0.0862320958783981,1.0,290,628,29299,0.1538461538461538,0.0862320958783981,1.0
2025-10-25,MOONEE VALLEY,2,CACCHIONE,3,JORDAN CHILDS,DOMINIC SUTTON,23.0,0,1200,,GOOD4,OCAST,9,0,0,0,0.1135101789019124,0.0772058823529411,0.0,600,1018,5799,0.1135101789019124,0.0772058823529411,0.0
2025-10-25,MOONEE VALLEY,2,PALM ANGEL,8,ETHAN BROWN,JASON WARREN,16.0,0,1200,,GOOD4,OCAST,9,0,0,0,0.2002772002772002,0.0974358974358974,0.5,518,1662,29854,0.2002772002772002,0.0974358974358974,0.5
2025-10-25,MOONEE VALLEY,2,SNOW MERCY,4,LACHLAN NEINDORF,PHILLIP STOKES,5.5,0,1200,,GOOD4,OCAST,9,0,0,0,0.1169888097660223,0.1335443037974683,0.6666666666666666,714,3195,37734,0.1169888097660223,0.1335443037974683,0.6666666666666666
2025-10-25,MOONEE VALLEY,2,LIVE,1,BEN MELHAM,CLINTON MCDONALD,11.0,0,1200,,GOOD4,OCAST,9,0,0,0,0.1114206128133704,0.1305555555555555,1.0,523,665,22819,0.1114206128133704,0.1305555555555555,1.0
2025-10-25,MOONEE VALLEY,3,MISS CELINE,13,CRAIG WILLIAMS,"M, W & J HAWKES",21.0,0,1200,,GOOD4,OCAST,14,0,0,0,0.1268255188316679,0.1107918263090676,0.125,269,329,25764,0.1268255188316679,0.1107918263090676,0.125
