Date,Track,Race Number,Horse,Barrier,Jockey,Trainer,SP,Finish Position,Race Distance,Class,Track Condition,Weather,Total Runners
2023-08-06,SCONE,1,HAYAKU,11,AARON BULLOCK,Brett Cavanough,1.55,2.0,1100,MDN SW,SOFT5,OCAST,13
2023-08-06,SCONE,1,JUKEBOX EDITION,7,HEAVELON VAN DER H,Kevin Hausfeld,71.0,,1100,MDN SW,SOFT5,OCAST,13
2023-08-06,SCONE,1,MAGIC STATEMENT,8,CHELSEA HILLIER,Rodney Northam,18.0,1.0,1100,MDN SW,SOFT5,OCAST,13
2023-08-06,SCONE,1,PICCAPEPPA,10,MITCHELL BELL,Scott Singleton,34.0,3.0,1100,MDN SW,SOFT5,OCAST,13
2023-08-06,SCONE,1,SUPER STORY,3,CHRISTIAN REITH,Scott Singleton,4.8,,1100,MDN SW,SOFT5,OCAST,13
2023-08-06,SCONE,1,BROWN PEARL,10,COURTNEY VAN DER W,Luke Thomas,101.0,,1100,MDN SW,SOFT5,OCAST,13
2023-08-06,SCONE,1,CHELSEA AMANDA,6,DARRYL MCLELLAN,Tim McIntosh,41.0,4.0,1100,MDN SW,SOFT5,OCAST,13
2023-08-06,SCONE,1,GLORIEN,4,KELSEY LENTON,Jane Clement,151.0,,1100,MDN SW,SOFT5,OCAST,13
2023-08-06,SCONE,1,PLEASING SURPRISE,2,CAMILLE HOULGATTE,Kevin Dixon,151.0,,1100,MDN SW,SOFT5,OCAST,13
2023-08-06,SCONE,1,PRIDING,5,MIKAYLA WEIR,Jeremy Sylvester,34.0,,1100,MDN SW,SOFT5,OCAST,13
2023-08-06,SCONE,1,UNREACHABLE,9,MATTHEW PALMER,Jeremy Sylvester,61.0,,1100,MDN SW,SOFT5,OCAST,13
2023-08-06,SCONE,1,WHISPERING MURIEL,2,ANDREW GIBBONS,Stephen Jones,81.0,,1100,MDN SW,SOFT5,OCAST,13
2023-08-06,SCONE,1,CHOICE WITNESS,1,ASHLEY MORGAN,Brett Cavanough,6.0,,1100,MDN SW,SOFT5,OCAST,13
2023-08-06,SCONE,2,EMERALD CUT,1,EMMA LY,Gai Waterhouse & Adrian Bott,3.2,4.0,1100,BM58,SOFT5,OCAST,9
2023-08-06,SCONE,2,CLOVELLY,9,REBECCA BRONETT PR,Matthew Smith,3.0,,1100,BM58,SOFT5,OCAST,9
2023-08-06,SCONE,2,YIRRKALA,6,COBI VITLER,Brett Cavanough,2.9,1.0,1100,BM58,SOFT5,OCAST,9
2023-08-06,SCONE,2,BOHO CHICK,2,AARON BULLOCK,Nikki Hodgson,4.0,2.0,1100,BM58,SOFT5,OCAST,9
2023-08-06,SCONE,2,CHOMEUR,3,CHELSEA HILLIER,Peter H Bloomfield,126.0,,1100,BM58,SOFT5,OCAST,9
2023-08-06,SCONE,2,GREY AT THE READY,8,ANDREW GIBBONS,Wayne Wilkes,26.0,,1100,BM58,SOFT5,OCAST,9
2023-08-06,SCONE,2,KLUM,7,HEAVELON VAN DER H,Annabel Neasham,5.5,,1100,BM58,SOFT5,OCAST,9
2023-08-06,SCONE,2,SILICA SAND,5,DARRYL MCLELLAN,Tanya Randell,21.0,3.0,1100,BM58,SOFT5,OCAST,9
2023-08-06,SCONE,2,STARS 'N' RICHES,4,CAMILLE HOULGATTE,Stephen Dixon,61.0,,1100,BM58,SOFT5,OCAST,9
2023-08-06,SCONE,3,APOLLO,8,JETT STANLEY,Annabel Neasham,0.0,,1600,CL1 SW,SOFT5,OCAST,11
