Date,Track,Race Number,Horse,Barrier,Jockey,Trainer,SP,Finish Position,Race Distance,Class,Track Condition,Weather,Total Runners
2023-09-02,MORPHETTVILLE,3,CHIEF ALTONY,4,JACOB OPPERMAN,Alex Rae,5.5,,1600,BM82,GOOD4,FINE,8
2023-09-02,MORPHETTVILLE,3,HE'S OUR BONNEVAL,6,TODD PANNELL,Trent Busuttin & Natalie Young,2.0,4.0,1600,BM82,GOOD4,FINE,8
2023-09-02,MORPHETTVILLE,3,HOPON HARRY,3,CAITLIN JONES,Andrew Gluyas,13.0,3.0,1600,BM82,GOOD4,FINE,8
2023-09-02,MORPHETTVILLE,3,EXALTED FIRE,2,KELSEY HANNAN,Michael Hickmott,8.0,,1600,BM82,GOOD4,FINE,8
2023-09-02,MORPHETTVILLE,3,REGAL AZMON,5,KAYLA CROWTHER,Phillip Stokes,5.0,1.0,1600,BM82,GOOD4,FINE,8
2023-09-02,MORPHETTVILLE,3,JACK THE LAD,7,LACHLAN NEINDORF,Wayne Francis & Glen Kent,19.0,2.0,1600,BM82,GOOD4,FINE,8
2023-09-02,MORPHETTVILLE,3,FRANCE'S BOY,1,TAYLA CHILDS,John Hickmott & Carrina Riggs,18.0,,1600,BM82,GOOD4,FINE,8
2023-09-02,MORPHETTVILLE,3,MOSS THE BOSS,8,ALANA LIVESEY,Trevor Day,251.0,,1600,BM82,GOOD4,FINE,8
2023-09-02,MORPHETTVILLE,4,SILENT DON,6,BEN PRICE,Will Clarken & Niki O'Shea,3.3,,1800,BM70,GOOD4,FINE,9
2023-09-02,MORPHETTVILLE,4,EXALTED RUTH,4,SOPHIE LOGAN,Ron Daniel & Trish Stanbury,5.5,3.0,1800,BM70,GOOD4,FINE,9
2023-09-02,MORPHETTVILLE,4,EUREKA'S VICTORY,9,ALANA LIVESEY,Nicole Irwin,8.0,2.0,1800,BM70,GOOD4,FINE,9
2023-09-02,MORPHETTVILLE,4,DEEL BLASTER,7,TODD PANNELL,Matt Laurie,5.5,,1800,BM70,GOOD4,FINE,9
2023-09-02,MORPHETTVILLE,4,KING OF PHARAOHS,2,CALLAN MURRAY,Roslyn Day,11.0,4.0,1800,BM70,GOOD4,FINE,9
