Date,Track,Race Number,Horse,Barrier,Jockey,Trainer,SP,Finish Position,Race Distance,Class,Track Condition,Weather,Total Runners
2023-02-23,KEMBLA GRANGE,1,COPPER MOON,1,JEFF PENZA,KERRY PARKER,1.85,,1000,CLS1,SOFT6,OCAST,9
2023-02-23,KEMBLA GRANGE,1,BOWIE OF DUBAI,5,JAY FORD,ROBERT & LUKE PRICE,6.0,1.0,1000,CLS1,SOFT6,OCAST,9
2023-02-23,KEMBLA GRANGE,1,HE'S PURRING,1,MADELINE OWEN,DAMIEN LANE,11.0,,1000,CLS1,SOFT6,OCAST,9
2023-02-23,KEMBLA GRANGE,1,TWOBOBROB,4,BRETT PREBBLE,BENJAMIN SMITH,5.0,4.0,1000,CLS1,SOFT6,OCAST,9
2023-02-23,KEMBLA GRANGE,1,ARTIEOS,2,BROCK RYAN,ROBERT & LUKE PRICE,5.0,,1000,CLS1,SOFT6,OCAST,9
2023-02-23,KEMBLA GRANGE,1,PITAVAGO,6,LEWIS GERMAN,MARC CHEVALIER,23.0,2.0,1000,CLS1,SOFT6,OCAST,9
2023-02-23,KEMBLA GRANGE,1,ANCHOR'S POINT,8,JENNY DUGGAN,DALE WAGSTAFF,41.0,3.0,1000,CLS1,SOFT6,OCAST,9
2023-02-23,KEMBLA GRANGE,1,SILICA SAND,3,JESS TAYLOR,DALE WAGSTAFF,101.0,,1000,CLS1,SOFT6,OCAST,9
2023-02-23,KEMBLA GRANGE,1,SAVE YOUR TEARS,7,OLIVIA CHAMBERS,ROBERT & LUKE PRICE,101.0,,1000,CLS1,SOFT6,OCAST,9
2023-02-23,KEMBLA GRANGE,2,HIGH PLATEAU,4,BRAD RAWILLER,JAMES CUMMINGS,3.6,1.0,1000,MAIDEN,SOFT6,OCAST,11
2023-02-23,KEMBLA GRANGE,2,TWOBOBROB,1,BRETT PREBBLE,BENJAMIN SMITH,4.8,,1000,MAIDEN,SOFT6,OCAST,11
2023-02-23,KEMBLA GRANGE,2,CANDLELIT,2,BROCK RYAN,ROBERT & LUKE PRICE,7.0,3.0,1000,MAIDEN,SOFT6,OCAST,11
2023-02-23,KEMBLA GRANGE,2,GLOBAL EMPIRE,5,SAM CLIPPERTON,JOSEPH PRIDE,1.85,,1000,MAIDEN,SOFT6,OCAST,11
2023-02-23,KEMBLA GRANGE,2,SECAUTION,9,CHAD SCHOFIELD,ANNABEL NEASHAM,3.7,,1000,MAIDEN,SOFT6,OCAST,11
2023-02-23,KEMBLA GRANGE,2,NEWS AT FIVE,3,NOT NOTIFIED,ROSS MCCONVILLE,151.0,,1000,MAIDEN,SOFT6,OCAST,11
2023-02-23,KEMBLA GRANGE,2,RUSSIAN ROSE,3,RACHEL KING,RICHARD & WILL FREEDMAN,17.0,2.0,1000,MAIDEN,SOFT6,OCAST,11
2023-02-23,KEMBLA GRANGE,2,IAMADANCER,1,ALYSHA COLLETT,ANNABEL NEASHAM,8.0,4.0,1000,MAIDEN,SOFT6,OCAST,11
2023-02-23,KEMBLA GRANGE,2,MISS BLACK DIAMOND,11,REGAN BAYLISS,GAI WATERHOUSE & ADRIAN BOTT,4.8,,1000,MAIDEN,SOFT6,OCAST,11
2023-02-23,KEMBLA GRANGE,2,HOLLOW DOLLAR,5,NOT NOTIFIED,JASON COYLE,26.0,,1000,MAIDEN,SOFT6,OCAST,11
2023-02-23,KEMBLA GRANGE,2,JAAMEELATI,7,ELLEN HENNESSY,ANNABEL NEASHAM,16.0,,1000,MAIDEN,SOFT6,OCAST,11
2023-02-23,KEMBLA GRANGE,3,HEADSTOCK,10,BROCK RYAN,ROBERT & LUKE PRICE,3.9,2.0,1200,3Y-MDN,SOFT6,OCAST,15
2023-02-23,KEMBLA GRANGE,3,ICONIC ICON,4,JENNY DUGGAN,SARA RYAN,21.0,,1200,3Y-MDN,SOFT6,OCAST,15
2023-02-23,KEMBLA GRANGE,3,MISSILE MAX,3,SIMONE VELLA,MICK ATTARD,101.0,,1200,3Y-MDN,SOFT6,OCAST,15
2023-02-23,KEMBLA GRANGE,3,ROARY,8,JEFF PENZA,PAUL MURRAY,34.0,,1200,3Y-MDN,SOFT6,OCAST,15
